job_name,salary,company,work_addr,work_year,education,company_size,state,welfare,modify_time,
应用软件工程师,10K-18K,江苏德新科智能传感器研究院有限公司,南京,3-5年,本科,20-99人,股份制企业,五险一金/绩效奖金/餐补,2019-04-23 20:49:36,
.net软件工程师,8K-15K,南京传众网络科技有限公司,南京,3-5年,不限,20-99人,民营,五险一金/餐补/交通补助/节日福利/周末双休,2019-04-24 10:59:17,
java开发实习生 双休五险一金,4K-6K,南京华锐软件开发有限公司,南京,不限,大专,100-499人,民营,五险一金/年底双薪/绩效奖金/年终分红/带薪年假,2019-04-24 14:04:06,
java开发工程师,8K-12K,江苏梦立渊软件技术有限公司,南京-玄武区,3-5年,大专,20-99人,民营,节日福利/五险一金/加班补助/带薪年假/餐补,2019-04-24 19:26:04,
java开发工程师,6K-10K,商禾信息科技有限公司,南京-雨花台区,3-5年,本科,100-499人,股份制企业,五险一金/节日福利,2019-04-24 21:51:21,
Java开发工程师,8K-15K,南京海启信息技术有限公司,南京-玄武区,1-3年,本科,20-99人,合资,五险一金/加班补助/餐补/房补/定期体检,2019-04-24 19:03:41,
java开发工程师,7K-9K,南京太亚科技股份有限公司,南京-浦口区,1-3年,本科,100-499人,其它,五险一金/带薪年假/高温补贴/节日福利/周末双休,2019-04-24 19:24:54,
Java开发（驻场开发，介意勿扰）,6K-8K,广州市易杰数码科技有限公司,南京-秦淮区,1-3年,大专,100-499人,合资,五险一金/周末双休/带薪年假/节日福利/定期体检,2019-04-24 19:09:44,
Java web开发工程师,10K-15K,南京科融数据系统股份有限公司,南京-秦淮区,3-5年,本科,100-499人,股份制企业,节日福利/五险一金/年底双薪/带薪年假/定期体检,2019-04-24 15:06:29,
java开发实习生/java工程师/java开发助理,4K-6K,南京网燃网络科技有限公司,南京,不限,大专,100-499人,股份制企业,五险一金/年底双薪/绩效奖金/加班补助/全勤奖,2019-04-24 17:46:01,
Java开发工程师,6K-10K,南京释加软件科技有限公司,南京,不限,本科,20-99人,民营,五险一金/绩效奖金/加班补助/餐补/带薪年假,2019-04-24 19:17:34,
高级java开发工程师,10K-20K,江苏梓如电子商务股份有限公司,南京,1-3年,大专,500-999人,股份制企业,五险一金/全勤奖/每年多次调薪/绩效奖金/带薪年假,2019-04-24 19:15:09,
JAVA开发工程师,8K-10K,淮安智软信息技术有限公司,南京,3-5年,大专,20-99人,民营,每年多次调薪/弹性工作/不加班/定期体检/住房补贴,2019-04-24 00:50:55,
java+python（人工智能方向)开发签约委培,8K-16K,北京百知教育科技有限公司,南京,不限,大专,500-999人,股份制企业,14薪/住房补贴/每年多次调薪/周末双休/五险一金,2019-04-24 19:10:32,
java开发工程师,15K-20K,上海华钦信息科技股份有限公司,南京-浦口区,3-5年,本科,1000-9999人,合资,五险一金/年底双薪/周末双休/试用期全额,2019-04-24 00:52:13,
Java开发工程师,5K-7K,永银文化发展集团有限公司,南京,3-5年,大专,500-999人,民营,,2019-04-24 00:50:19,
java工程师 java开发工程师 java软件工程师 java程序员 WEB开发,8K-10K,南京贞观互联网科技有限公司,南京,1-3年,大专,20-99人,民营,五险一金/绩效奖金/全勤奖/交通补助/餐补,2019-04-24 21:36:04,
Java开发工程师,15K-20K,中电智能技术南京有限公司,南京,3-5年,本科,20-99人,国企,五险一金/交通补助/餐补/通讯补助/带薪年假,2019-04-24 18:03:50,
Java开发工程师,8K-15K,南京语道智能技术有限公司,南京,3-5年,本科,20-99人,民营,绩效奖金,2019-04-24 14:39:44,
电子电气转行软件开发(JAVA、软件测试),3K-6K,南京爬虫信息科技有限公司,南京,不限,大专,500-999人,股份制企业,五险一金/年底双薪/绩效奖金/餐补/弹性工作,2019-04-24 18:04:43,
初级java开发工程师/java实习生,4K-6K,南京易欣博软件技术有限公司,南京-江宁区,不限,大专,100-499人,民营,五险一金/年底双薪/加班补助/全勤奖/弹性工作,2019-04-24 15:05:10,
java开发工程师,8K-16K,合肥维天运通信息科技股份有限公司,南京-雨花台区,3-5年,大专,500-999人,民营,每年多次调薪/五险一金/绩效奖金/带薪年假/节日福利,2019-04-24 14:10:48,
高级java开发工程师,10K-16K,合肥维天运通信息科技股份有限公司,南京-雨花台区,3-5年,大专,500-999人,民营,五险一金/年底双薪/绩效奖金/带薪年假/员工旅游,2019-04-24 14:10:48,
java开发工程师,8K-10K,南京泰通科技股份有限公司,南京,3-5年,大专,100-499人,民营,五险一金/弹性工作/免费班车/节日福利/带薪年假,2019-04-24 15:06:41,
Java开发实习生,4K-6K,苏州云柯数据服务有限公司,南京-雨花台区,不限,大专,100-499人,民营,五险一金/绩效奖金/包住/交通补助/全勤奖,2019-04-24 19:27:49,
java开发工程师,10K-15K,深圳市拓保软件有限公司南京分公司,南京,3-5年,本科,1000-9999人,民营,五险一金/节日福利/员工旅游,2019-04-24 00:51:43,
Java开发工程师实习生（五险一金 双休）,4K-6K,苏州云柯数据服务有限公司,南京-雨花台区,不限,大专,100-499人,民营,五险一金/绩效奖金/包住/交通补助/全勤奖,2019-04-24 19:24:37,
Java开发工程师,8K-12K,南京九洲会计咨询有限公司,南京,3-5年,本科,100-499人,民营,年底双薪/绩效奖金/带薪年假/员工旅游/节日福利,2019-04-24 19:20:21,
java开发工程师,6K-8K,安徽科大国创云网科技有限公司,南京-建邺区,1-3年,大专,1000-9999人,民营,五险一金/绩效奖金/交通补助/餐补/带薪年假,2019-04-24 19:10:34,
java开发工程师,6K-8K,南京所由所以信息科技有限公司,南京,1-3年,大专,20-99人,民营,创业公司/五险/周末双休/绩效奖金/五险一金,2019-04-24 19:11:54,
java开发工程师助理/Java实习生双休五险,4K-6K,南京网燃网络科技有限公司,南京,不限,大专,100-499人,股份制企业,五险一金/年底双薪/绩效奖金/加班补助/全勤奖,2019-04-24 10:40:55,
Java开发实习生 （可留用）,2.4K-3.5K,南京杰谱企业管理咨询有限公司,南京-雨花台区,不限,本科,100-499人,民营,加班补助/全勤奖/周末双休,2019-04-24 14:26:12,
java开发工程师,10K-18K,南京海得睿智企业管理咨询有限公司,南京-建邺区,3-5年,本科,20-99人,民营,周末双休/五险一金/不加班/节日福利/通讯补助,2019-04-24 17:10:33,
项目年终奖Java工程师助理/Java开发可实习,4K-6K,江苏耀东文化传媒有限公司,南京,不限,大专,100-499人,民营,五险一金/年底双薪/绩效奖金/全勤奖/包住,2019-04-24 10:40:24,
JAVA开发工程师,8K-10K,苏州云柯数据服务有限公司,南京-雨花台区,1-3年,本科,100-499人,民营,五险一金/绩效奖金/包住/交通补助/全勤奖,2019-04-24 19:02:22,
java开发工程师,6K-12K,江苏嘉羿科技有限公司,南京,1-3年,本科,20人以下,不限,五险一金/绩效奖金/全勤奖/交通补助/餐补,2019-04-24 19:25:15,
JAVA开发docker方向/1.5年以上/星火路地铁,10K-15K,南京英锐祺科技有限公司,南京,1-3年,大专,20-99人,民营,五险一金/餐补/带薪年假/员工旅游/节日福利,2019-04-24 19:23:09,
中级Java开发工程师,8K-12K,南京无上信息科技有限公司,南京-雨花台区,3-5年,大专,20-99人,民营,五险一金/绩效奖金/餐补/带薪年假,2019-04-24 19:13:24,
java开发工程师初级,6K-10K,上海颉硕信息科技有限公司,南京-玄武区,1-3年,大专,100-499人,民营,周末双休/五险一金/餐补/带薪年假/定期体检,2019-04-24 19:28:13,
java开发工程师,8K-10K,南京欣海互联科技发展有限公司,南京,1-3年,大专,20-99人,民营,五险一金/年底双薪/包吃/周末双休/试用期全额,2019-04-24 19:26:27,
初级java软件开发工程师（双休+年终奖金）,3K-6K,江苏耀东文化传媒有限公司,南京,不限,大专,100-499人,民营,五险一金/年底双薪/绩效奖金/全勤奖/包住,2019-04-24 17:45:36,
Java开发,8K-12K,南京银尔兴投资顾问有限公司,南京-建邺区,1-3年,大专,20-99人,民营,五险一金/节日福利/周末双休/年底双薪,2019-04-24 19:18:21,
五险一金+餐补java开发实习生/java开发,4K-6K,阜宁阜惠科技信息有限公司,南京,不限,大专,20-99人,合资,五险一金/年底双薪/绩效奖金/加班补助/全勤奖,2019-04-24 09:54:30,
java开发工程师,7K-12K,北京思特奇信息技术股份有限公司,南京-鼓楼区,1-3年,本科,1000-9999人,上市公司,五险一金/绩效奖金/加班补助/餐补/交通补助,2019-04-24 19:08:17,
Java开发工程师 后台开发 3年,10K-15K,江苏端木软件技术有限公司,南京,3-5年,本科,100-499人,民营,定期体检/节日福利/五险一金,2019-04-24 10:05:28,
java开发工程师,8K-15K,江苏中堃数据技术有限公司,南京,3-5年,不限,20-99人,股份制企业,五险一金/餐补,2019-04-24 19:02:16,
java开发工程师 餐补房补+双休,4K-6K,才秀集团,南京,不限,中专,1000-9999人,股份制企业,五险一金/全勤奖/包吃/年底双薪/绩效奖金,2019-04-24 09:33:24,
Java开发工程师,7K-12K,南京优泰科技发展有限公司,南京,1-3年,本科,20-99人,民营,交通补助/餐补,2019-04-24 17:50:14,
Java开发工程师,7K-9K,江苏金恒信息科技股份有限公司,南京,3-5年,本科,100-499人,股份制企业,14薪/周末双休/五险一金/绩效奖金/加班补助,2019-04-24 09:46:46,
Java 高级开发工程师-NJ,16K-20K,爱云信息技术(北京)有限公司,南京,5-10年,本科,100-499人,合资,创业公司/五险一金/绩效奖金/股票期权/交通补助,2019-04-24 13:37:54,
Java软件开发实习/接收应届生可培养,3K-5K,南京爬虫信息科技有限公司,南京,不限,大专,500-999人,股份制企业,五险一金/年底双薪/餐补/房补/带薪年假,2019-04-24 09:56:09,
软件开发储备生（java、web）双休五险,4K-6K,南京网燃网络科技有限公司,南京,不限,大专,100-499人,股份制企业,五险一金/年底双薪/绩效奖金/全勤奖/带薪年假,2019-04-24 17:47:07,
java开发,9K-12K,江苏金恒信息科技股份有限公司,南京,3-5年,本科,100-499人,股份制企业,14薪/周末双休/五险一金/绩效奖金/加班补助,2019-04-24 09:44:43,
JAVA开发工程师,15K-20K,南京东启信息科技有限公司,南京,3-5年,大专,20-99人,民营,五险一金/定期体检/员工旅游,2019-04-24 19:27:14,
Java开发工程师,10K-15K,杭州信雅达风险管理信息技术有限公司,南京-建邺区,3-5年,大专,100-499人,上市公司,交通补助/餐补/节日福利/定期体检/五险一金,2019-04-24 19:18:14,
java中级开发工程师,5K-10K,南京笃行计算机科技有限公司,南京-雨花台区,1-3年,本科,20-99人,民营,五险一金/绩效奖金/节日福利/全勤奖,2019-04-24 20:47:42,
Java开发工程师（南京）,8K-12K,南京和瑞供应链管理有限公司,南京,3-5年,本科,100-499人,民营,节日福利/五险一金/带薪年假/定期体检/员工旅游,2019-04-24 16:46:00,
高级JAVA开发工程师,12K-16K,江苏泊朗智能科技有限公司,南京-雨花台区,5-10年,本科,100-499人,民营,五险一金/绩效奖金/年终分红/交通补助/创业公司,2019-04-24 09:44:35,
java开发工程师,8K-15K,江苏高速公路信息工程有限公司,南京,3-5年,本科,100-499人,国企,五险一金/餐补/通讯补助/交通补助/补充医疗保险,2019-04-24 11:32:27,
Java开发实习生,4K-6K,南京易欣博软件技术有限公司,南京-雨花台区,无经验,大专,100-499人,民营,五险一金/年底双薪/加班补助/全勤奖/弹性工作,2019-04-24 10:00:41,
java开发工程师,8K-16K,南京嵩讯科技开发有限公司,南京,3-5年,本科,20-99人,民营,五险一金/年底双薪/带薪年假/节日福利,2019-04-24 09:10:31,
Java开发工程师,6K-12K,南京水动力信息科技有限公司,南京,3-5年,本科,20-99人,民营,五险一金/绩效奖金/餐补/带薪年假/节日福利,2019-04-24 19:08:18,
诚聘 Java开发实习生——双休，五险一金,4K-6K,中兴软件技术(济南)有限公司南京分公司,南京,不限,大专,1000-9999人,合资,五险一金/交通补助/餐补/房补/通讯补助,2019-04-24 10:27:18,
中高Java开发工程师（南京）(001204),15K-25K,启迪国信科技有限公司,南京-雨花台区,3-5年,本科,100-499人,民营,,2019-04-24 10:53:12,
JAVA开发工程师,10K-12K,江苏泊朗智能科技有限公司,南京-雨花台区,3-5年,本科,100-499人,民营,五险一金/绩效奖金/年终分红/交通补助/创业公司,2019-04-24 09:44:36,
